Company Name,Location,Description,Batch,Context,YC URL,Contact Source
InspectMind AI,"San Francisco, CA, USA",AI agent for construction drawings review,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/inspectmind-ai,https://www.ycombinator.com/companies/inspectmind-ai - Check company website for contact info
Yarn,"New York, NY, USA",Make sales and marketing videos with AI.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/yarn-2,https://www.ycombinator.com/companies/yarn-2 - Check company website for contact info
Blacksmith,,The fastest way to run your GitHub Actions,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/blacksmith,https://www.ycombinator.com/companies/blacksmith - Check company website for contact info
CrowdVolt,"New York, NY, USA",The integration layer for live events infrastructure,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/crowdvolt,https://www.ycombinator.com/companies/crowdvolt - Check company website for contact info
kater.ai,"San Francisco, CA, USA",Deliver complete data analysis from a single question,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/kater-ai,https://www.ycombinator.com/companies/kater-ai - Check company website for contact info
Mathos,"Santa Clara, CA, USA",Ultimate AI Math Problem Solver to Revolutionize Personalized Learning,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/mathos,https://www.ycombinator.com/companies/mathos - Check company website for contact info
Tower,"San Francisco, CA, USA",M&A due diligence platform powered by AI,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/tower,https://www.ycombinator.com/companies/tower - Check company website for contact info
Quivr,"Paris, Île-de-France, France",AI-powered auto-resolutions and reply suggestions for customer…,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/quivr,https://www.ycombinator.com/companies/quivr - Check company website for contact info
Dragoneye,"New York, NY, USA",Custom video detection models in less than 5 minutes,Winter 2024,YC Winter 2024 startup - Content platform that needs media pages indexed for creators,https://www.ycombinator.com/companies/dragoneye,https://www.ycombinator.com/companies/dragoneye - Check company website for contact info
renderlet,"New York, NY, USA",Build interactive applications that run anywhere,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/renderlet,https://www.ycombinator.com/companies/renderlet - Check company website for contact info
Latted,"San Francisco, CA, USA",A Unified Editor For AI Video,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/latted,https://www.ycombinator.com/companies/latted - Check company website for contact info
The New Money Company,"San Francisco, CA, USA",Invoicing that pays you even if your buyer doesn’t,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/the-new-money-company,https://www.ycombinator.com/companies/the-new-money-company - Check company website for contact info
Forge,"New York, NY, USA",Getting companies refunds on tariffs & duties,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/forge,https://www.ycombinator.com/companies/forge - Check company website for contact info
Integuru,"San Francisco, CA, USA",Generate the most robust APIs with any website,Winter 2024,YC Winter 2024 startup - Developer tool that needs API/docs pages indexed for developer discovery,https://www.ycombinator.com/companies/integuru,https://www.ycombinator.com/companies/integuru - Check company website for contact info
VoxOps AI,"London, England, United Kingdom",Voice AI for Automotive,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/voxops-ai,https://www.ycombinator.com/companies/voxops-ai - Check company website for contact info
Granza Bio,"San Francisco, CA, USA",Reprogramming Immunity for Target-Specific Medicines,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/granza-bio,https://www.ycombinator.com/companies/granza-bio - Check company website for contact info
Haplotype Labs,Remote,Personalized prevention using genetics and AI,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/haplotype-labs,https://www.ycombinator.com/companies/haplotype-labs - Check company website for contact info
Healia,"Columbus, OH, USA",Modern health insurance for dual income families,Winter 2024,YC Winter 2024 startup - Healthcare startup that needs their platform pages indexed for providers/patients,https://www.ycombinator.com/companies/healia,https://www.ycombinator.com/companies/healia - Check company website for contact info
TrueClaim,"San Francisco, CA, USA","Transparent, AI-powered healthcare TPA.",Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/trueclaim,https://www.ycombinator.com/companies/trueclaim - Check company website for contact info
CoCrafter,"Munich, BY, Germany",,Winter 2024,YC Winter 2024 startup - Startup that needs fast indexing for their website pages,https://www.ycombinator.com/companies/cocrafter,https://www.ycombinator.com/companies/cocrafter - Check company website for contact info
Reform,"San Francisco, CA, USA",Workflow automation. Built for logistics.,Winter 2024,YC Winter 2024 startup - Logistics startup that needs service pages indexed for B2B customers,https://www.ycombinator.com/companies/reform,https://www.ycombinator.com/companies/reform - Check company website for contact info
Piramidal,"New York, NY, USA",Foundation Model for the Brain,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/piramidal,https://www.ycombinator.com/companies/piramidal - Check company website for contact info
Junction Bioscience,,AI Hypothesis Engine for Molecular Discovery,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/junction-bioscience,https://www.ycombinator.com/companies/junction-bioscience - Check company website for contact info
OddsView,"New York, NY, USA",The Bloomberg Terminal of Sports Betting,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/oddsview,https://www.ycombinator.com/companies/oddsview - Check company website for contact info
Silogy,"New York, NY, USA",An AI-powered test and debug platform for chip developers,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/silogy,https://www.ycombinator.com/companies/silogy - Check company website for contact info
Senso,"Toronto, ON, Canada",Control what AI says about you,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/senso,https://www.ycombinator.com/companies/senso - Check company website for contact info
Eris Biotech,"Lehi, UT, USA",Our drugs engage the immune system to fight tumors,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/eris-biotech,https://www.ycombinator.com/companies/eris-biotech - Check company website for contact info
Powder,,AI Agents for precise document analysis,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/powder,https://www.ycombinator.com/companies/powder - Check company website for contact info
OpenFoundry,"San Francisco, CA, USA",The fastest developer experience for building on open source AI.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/openfoundry,https://www.ycombinator.com/companies/openfoundry - Check company website for contact info
Polar,"San Francisco, CA, USA",The smarter way to manage USD earnings globally,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/polar,https://www.ycombinator.com/companies/polar - Check company website for contact info
Penciled,"San Francisco, CA, USA",AI front office assistant for physical therapy,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/penciled,https://www.ycombinator.com/companies/penciled - Check company website for contact info
Magic Hour,"San Francisco, CA, USA",Platform for AI video generation.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/magic-hour,https://www.ycombinator.com/companies/magic-hour - Check company website for contact info
Ryse,"New York, NY, USA",The secondary market for real estate leases,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/ryse,https://www.ycombinator.com/companies/ryse - Check company website for contact info
Datacurve,"San Francisco, CA, USA",Frontier coding data for training and evaluating LLMs,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/datacurve,https://www.ycombinator.com/companies/datacurve - Check company website for contact info
Marblism,"San Francisco, CA, USA",AI Employees who love overtime,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/marblism,https://www.ycombinator.com/companies/marblism - Check company website for contact info
CommodityAI,"San Francisco, CA, USA",AI that automates commodity operations,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/commodityai,https://www.ycombinator.com/companies/commodityai - Check company website for contact info
Veles,"Santa Barbara, CA, USA",,Winter 2024,YC Winter 2024 startup - Startup that needs fast indexing for their website pages,https://www.ycombinator.com/companies/veles,https://www.ycombinator.com/companies/veles - Check company website for contact info
Miden,"Ikeja, LA, Nigeria",Card issuer processor and banking stack for businesses in Sub-…,Winter 2024,YC Winter 2024 startup - Fintech startup that needs service pages indexed for customer acquisition,https://www.ycombinator.com/companies/miden,https://www.ycombinator.com/companies/miden - Check company website for contact info
Fluently,Remote,Your personal English tutor,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/fluently,https://www.ycombinator.com/companies/fluently - Check company website for contact info
Basepilot,"San Francisco, CA, USA",AI agents for insurance claims,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/basepilot,https://www.ycombinator.com/companies/basepilot - Check company website for contact info
Aqua Voice,"San Francisco, CA, USA",Frontier Voice Input - write 4x faster than typing.,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/aqua-voice,https://www.ycombinator.com/companies/aqua-voice - Check company website for contact info
xPay,,"International Billing Ops, Sales Tax and Payments for SaaS businesses",Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/xpay,https://www.ycombinator.com/companies/xpay - Check company website for contact info
Deepnight,"San Francisco, CA, USA",Building The Next Generation of Night Vision Devices,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/deepnight,https://www.ycombinator.com/companies/deepnight - Check company website for contact info
Vista Power,"San Francisco, CA, USA",Batteries and solar for $0 upfront to help businesses save money,Winter 2024,YC Winter 2024 startup - B2B platform that needs service pages indexed for enterprise clients,https://www.ycombinator.com/companies/vista-power,https://www.ycombinator.com/companies/vista-power - Check company website for contact info
Adapted,"San Francisco, CA, USA",Helping athletes stay durable,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/adapted,https://www.ycombinator.com/companies/adapted - Check company website for contact info
Ocular AI,"San Francisco, CA, USA","AI-Native Data Engine for LLMs, Computer Vision, & Enterprise AI",Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/ocular-ai,https://www.ycombinator.com/companies/ocular-ai - Check company website for contact info
Retell AI,,Supercharge Your Contact Center Operations with AI Phone Agents,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/retell-ai,https://www.ycombinator.com/companies/retell-ai - Check company website for contact info
Rove,"New York, NY, USA",Travel the world for free.,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/rove,https://www.ycombinator.com/companies/rove - Check company website for contact info
camelAI,"San Francisco, CA, USA",AI software engineer that lives on its own computer,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/camelai,https://www.ycombinator.com/companies/camelai - Check company website for contact info
Spark,,AI-powered workflows for energy infrastructure,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/spark,https://www.ycombinator.com/companies/spark - Check company website for contact info
Downlink,"San Francisco, CA, USA",Make your LLMs 3x faster.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/downlink,https://www.ycombinator.com/companies/downlink - Check company website for contact info
Terrakotta,"Shoreline, WA, USA",AI platform for phone-first sellers,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/terrakotta,https://www.ycombinator.com/companies/terrakotta - Check company website for contact info
Stacksync,"San Francisco, CA, USA",Real-time and two-way sync between CRMs and Databases,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/stacksync,https://www.ycombinator.com/companies/stacksync - Check company website for contact info
Hatchet,"New York, NY, USA",Background task orchestration and visibility,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/hatchet-run,https://www.ycombinator.com/companies/hatchet-run - Check company website for contact info
Shepherd,Remote,Every student's personalized learning assistant,Winter 2024,YC Winter 2024 startup - EdTech startup that needs course pages indexed for students,https://www.ycombinator.com/companies/shepherd-2,https://www.ycombinator.com/companies/shepherd-2 - Check company website for contact info
Sonauto,,Create hit songs with AI,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/sonauto,https://www.ycombinator.com/companies/sonauto - Check company website for contact info
Velorum Therapeutics,"San Francisco, CA, USA",Breakthrough medicines unlocking the biology of heme,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/velorum-therapeutics,https://www.ycombinator.com/companies/velorum-therapeutics - Check company website for contact info
Zep AI,"San Francisco, CA, USA",Agent Context Is Hard. We Fixed It.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/zep-ai,https://www.ycombinator.com/companies/zep-ai - Check company website for contact info
Openmart,"Foster City, CA, USA",Local business data intelligence platform,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/openmart,https://www.ycombinator.com/companies/openmart - Check company website for contact info
Triply,"Nairobi, Nairobi County, Kenya",Operating system for travel businesses in Africa with embedded finance,Winter 2024,YC Winter 2024 startup - Fintech startup that needs service pages indexed for customer acquisition,https://www.ycombinator.com/companies/triply,https://www.ycombinator.com/companies/triply - Check company website for contact info
Deep24,,AI coach for your entire life,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/deep24,https://www.ycombinator.com/companies/deep24 - Check company website for contact info
Alai,,Create high quality presentations quickly using AI,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/alai,https://www.ycombinator.com/companies/alai - Check company website for contact info
Lumetric,"San Francisco, CA, USA",The AI Analyst For Deal Teams,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/lumetric,https://www.ycombinator.com/companies/lumetric - Check company website for contact info
Sample,"San Francisco, CA, USA",Flexible systems for clinical reasoning.,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/sample,https://www.ycombinator.com/companies/sample - Check company website for contact info
Brainbase Labs,"San Francisco, CA, USA",,Winter 2024,YC Winter 2024 startup - Startup that needs fast indexing for their website pages,https://www.ycombinator.com/companies/brainbase-labs,https://www.ycombinator.com/companies/brainbase-labs - Check company website for contact info
Focal,"San Francisco, CA, USA",AI video creation tool for TV shows and movies,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/focal,https://www.ycombinator.com/companies/focal - Check company website for contact info
Givefront,,Nonprofit Financial Management,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/givefront,https://www.ycombinator.com/companies/givefront - Check company website for contact info
Cleva,"Lagos, LA, Nigeria",USD banking platform for Africa,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/cleva,https://www.ycombinator.com/companies/cleva - Check company website for contact info
Oma Care,,Get paid for taking care of your parents.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/oma-care,https://www.ycombinator.com/companies/oma-care - Check company website for contact info
Artos,,"Authoring documents for life sciences in minutes, not months.",Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/artos,https://www.ycombinator.com/companies/artos - Check company website for contact info
Model ML,"London, England, United Kingdom",AI Workspace for Financial Services.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/model-ml,https://www.ycombinator.com/companies/model-ml - Check company website for contact info
BetterBasket,"San Francisco, CA, USA",Smart grocery pricing with AI,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/betterbasket,https://www.ycombinator.com/companies/betterbasket - Check company website for contact info
Circleback,,AI-powered meeting notes and automations,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/circleback,https://www.ycombinator.com/companies/circleback - Check company website for contact info
JustAI,"San Francisco, CA, USA",Agentic Marketing Platform,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/justai,https://www.ycombinator.com/companies/justai - Check company website for contact info
Risotto,"San Francisco, CA, USA",Risotto auto-solves IT support requests using AI,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/risotto,https://www.ycombinator.com/companies/risotto - Check company website for contact info
DianaHR,"San Francisco, CA, USA",An AI-Powered HR Person,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/dianahr,https://www.ycombinator.com/companies/dianahr - Check company website for contact info
HeartByte,"San Francisco, CA, USA",GenAI Interactive story. Creator write fictions 10x faster.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/heartbyte,https://www.ycombinator.com/companies/heartbyte - Check company website for contact info
Yondu,"Los Angeles, CA, USA",Robots to Automate Fulfillment,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/yondu,https://www.ycombinator.com/companies/yondu - Check company website for contact info
Raindrop,"San Francisco, CA, USA",,Winter 2024,YC Winter 2024 startup - Startup that needs fast indexing for their website pages,https://www.ycombinator.com/companies/raindrop,https://www.ycombinator.com/companies/raindrop - Check company website for contact info
floatingpoint,"San Francisco, CA, USA",Post-training data to teach models document work,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/floatingpoint,https://www.ycombinator.com/companies/floatingpoint - Check company website for contact info
Centauri AI,,The Modern ETL and Data Science Platform for Finance,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/centauri-ai,https://www.ycombinator.com/companies/centauri-ai - Check company website for contact info
ProSights,"New York, NY, USA",ProSights is an AI-native data extraction tool for financial…,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/prosights,https://www.ycombinator.com/companies/prosights - Check company website for contact info
Manifold Freight,"Seattle, WA, USA",Aggregating Spot Freight Opportunities for Carriers,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/manifold-freight,https://www.ycombinator.com/companies/manifold-freight - Check company website for contact info
EdgeTrace,,Describe It. Find It. Act On It.,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/edgetrace,https://www.ycombinator.com/companies/edgetrace - Check company website for contact info
Clarum,"San Francisco, CA, USA","AI agents for private market diligence, monitoring, and reporting",Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/clarum,https://www.ycombinator.com/companies/clarum - Check company website for contact info
Opencall.ai,,AI Workforce for Services Businesses,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/opencall-ai,https://www.ycombinator.com/companies/opencall-ai - Check company website for contact info
Voicepanel,,AI agents for customer research,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/voicepanel,https://www.ycombinator.com/companies/voicepanel - Check company website for contact info
OffDeal,"New York, NY, USA",AI-native investment bank for small businesses,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/offdeal,https://www.ycombinator.com/companies/offdeal - Check company website for contact info
Andy AI,"San Francisco, CA, USA",Faster clinical documentation for home health nurses,Winter 2024,YC Winter 2024 startup - Healthcare startup that needs their platform pages indexed for providers/patients,https://www.ycombinator.com/companies/andy-ai,https://www.ycombinator.com/companies/andy-ai - Check company website for contact info
Hazel,"New York, NY, USA",AI-enabled procurement for government,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/hazel-2,https://www.ycombinator.com/companies/hazel-2 - Check company website for contact info
Shiboleth,,Shiboleth automates lending compliance for financial institutions…,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/shiboleth,https://www.ycombinator.com/companies/shiboleth - Check company website for contact info
Aftercare,"San Francisco, CA, USA",Conversational AI surveys with intelligent follow-up questions,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/aftercare,https://www.ycombinator.com/companies/aftercare - Check company website for contact info
Soundry AI,"Seattle, WA, USA",Professional Quality AI Music Creation,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/soundry-ai,https://www.ycombinator.com/companies/soundry-ai - Check company website for contact info
Elodin,"San Francisco, CA, USA",Unified flight software and hardware for the mission of tomorrow,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/elodin,https://www.ycombinator.com/companies/elodin - Check company website for contact info
Conduit,"San Francisco, CA, USA",Conversational AI agents for Customer Service.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/conduit-ai,https://www.ycombinator.com/companies/conduit-ai - Check company website for contact info
Tensorfuse,,Run serverless GPUs on your own cloud,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/tensorfuse,https://www.ycombinator.com/companies/tensorfuse - Check company website for contact info
Toma,"San Francisco, CA, USA",AI for Underserved Industries,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/toma,https://www.ycombinator.com/companies/toma - Check company website for contact info
Carma,"San Francisco, CA, USA",The AI Operating System For Modern Fleets.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/carma,https://www.ycombinator.com/companies/carma - Check company website for contact info
Preloop,,Translate your experimental scripts into production ML services,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/preloop,https://www.ycombinator.com/companies/preloop - Check company website for contact info
Superagent,"San Francisco, CA, USA",Red teaming for AI agents,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/superagent,https://www.ycombinator.com/companies/superagent - Check company website for contact info
Bilanc,,AI-Powered Engineering Productivity,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/bilanc,https://www.ycombinator.com/companies/bilanc - Check company website for contact info
