Company Name,Batch,Description,Location,Industry,YC Profile URL,Email Pattern,How to Find Email
CrowdVolt,W24,Integration layer for live events infrastructure,"New York, NY",Consumer,https://www.ycombinator.com/companies/crowdvolt,founders@crowdvolt.com or hello@crowdvolt.com,Visit https://www.ycombinator.com/companies/crowdvolt → click company website → check /contact or footer
kater.ai,W24,Deliver complete data analysis from a single question,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/kater-ai,founders@katerai.com or hello@katerai.com,Visit https://www.ycombinator.com/companies/kater-ai → click company website → check /contact or footer
Mathos,W24,AI Math Problem Solver for Personalized Learning,"Santa Clara, CA",Education,https://www.ycombinator.com/companies/mathos,founders@mathos.com or hello@mathos.com,Visit https://www.ycombinator.com/companies/mathos → click company website → check /contact or footer
Tower,W24,M&A due diligence platform powered by AI,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/tower,founders@tower.com or hello@tower.com,Visit https://www.ycombinator.com/companies/tower → click company website → check /contact or footer
Quivr,W24,AI-powered auto-resolutions and reply suggestions,"Paris, France",B2B,https://www.ycombinator.com/companies/quivr,founders@quivr.com or hello@quivr.com,Visit https://www.ycombinator.com/companies/quivr → click company website → check /contact or footer
Dragoneye,W24,Custom video detection models in less than 5 minutes,"New York, NY",B2B,https://www.ycombinator.com/companies/dragoneye,founders@dragoneye.com or hello@dragoneye.com,Visit https://www.ycombinator.com/companies/dragoneye → click company website → check /contact or footer
renderlet,W24,Build interactive applications that run anywhere,"New York, NY",B2B,https://www.ycombinator.com/companies/renderlet,founders@renderlet.com or hello@renderlet.com,Visit https://www.ycombinator.com/companies/renderlet → click company website → check /contact or footer
Latted,W24,A Unified Editor For AI Video,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/latted,founders@latted.com or hello@latted.com,Visit https://www.ycombinator.com/companies/latted → click company website → check /contact or footer
The New Money Company,W24,Invoicing that pays you even if your buyer doesn't,"San Francisco, CA",Fintech,https://www.ycombinator.com/companies/the-new-money-company,founders@thenewmoneycompany.com or hello@thenewmoneycompany.com,Visit https://www.ycombinator.com/companies/the-new-money-company → click company website → check /contact or footer
Forge,W24,Getting companies refunds on tariffs & duties,"New York, NY",B2B,https://www.ycombinator.com/companies/forge,founders@forge.com or hello@forge.com,Visit https://www.ycombinator.com/companies/forge → click company website → check /contact or footer
Integuru,W24,Generate the most robust APIs with any website,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/integuru,founders@integuru.com or hello@integuru.com,Visit https://www.ycombinator.com/companies/integuru → click company website → check /contact or footer
VoxOps AI,W24,Voice AI for Automotive,"London, UK",B2B,https://www.ycombinator.com/companies/voxops-ai,founders@voxopsai.com or hello@voxopsai.com,Visit https://www.ycombinator.com/companies/voxops-ai → click company website → check /contact or footer
Granza Bio,W24,Reprogramming Immunity for Target-Specific Medicines,"San Francisco, CA",Healthcare,https://www.ycombinator.com/companies/granza-bio,founders@granzabio.com or hello@granzabio.com,Visit https://www.ycombinator.com/companies/granza-bio → click company website → check /contact or footer
Haplotype Labs,W24,Personalized prevention using genetics and AI,Remote,Healthcare,https://www.ycombinator.com/companies/haplotype-labs,founders@haplotypelabs.com or hello@haplotypelabs.com,Visit https://www.ycombinator.com/companies/haplotype-labs → click company website → check /contact or footer
Healia,W24,Modern health insurance for dual income families,"Columbus, OH",Fintech,https://www.ycombinator.com/companies/healia,founders@healia.com or hello@healia.com,Visit https://www.ycombinator.com/companies/healia → click company website → check /contact or footer
TrueClaim,W24,"Transparent, AI-powered healthcare TPA","San Francisco, CA",Healthcare,https://www.ycombinator.com/companies/trueclaim,founders@trueclaim.com or hello@trueclaim.com,Visit https://www.ycombinator.com/companies/trueclaim → click company website → check /contact or footer
CoCrafter,W24,B2B construction marketplace for contractors,"Munich, Germany",Real Estate,https://www.ycombinator.com/companies/cocrafter,founders@cocrafter.com or hello@cocrafter.com,Visit https://www.ycombinator.com/companies/cocrafter → click company website → check /contact or footer
Reform,W24,Workflow automation built for logistics,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/reform,founders@reform.com or hello@reform.com,Visit https://www.ycombinator.com/companies/reform → click company website → check /contact or footer
Piramidal,W24,Foundation Model for the Brain,"New York, NY",Healthcare,https://www.ycombinator.com/companies/piramidal,founders@piramidal.com or hello@piramidal.com,Visit https://www.ycombinator.com/companies/piramidal → click company website → check /contact or footer
Junction Bioscience,W24,AI Hypothesis Engine for Molecular Discovery,,Healthcare,https://www.ycombinator.com/companies/junction-bioscience,founders@junctionbioscience.com or hello@junctionbioscience.com,Visit https://www.ycombinator.com/companies/junction-bioscience → click company website → check /contact or footer
OddsView,W24,The Bloomberg Terminal of Sports Betting,"New York, NY",Consumer,https://www.ycombinator.com/companies/oddsview,founders@oddsview.com or hello@oddsview.com,Visit https://www.ycombinator.com/companies/oddsview → click company website → check /contact or footer
Silogy,W24,AI-powered test and debug platform for chip developers,"New York, NY",B2B,https://www.ycombinator.com/companies/silogy,founders@silogy.com or hello@silogy.com,Visit https://www.ycombinator.com/companies/silogy → click company website → check /contact or footer
Senso,W24,Control what AI says about you,"Toronto, Canada",B2B,https://www.ycombinator.com/companies/senso,founders@senso.com or hello@senso.com,Visit https://www.ycombinator.com/companies/senso → click company website → check /contact or footer
Eris Biotech,W24,Drugs that engage the immune system to fight tumors,"Lehi, UT",Healthcare,https://www.ycombinator.com/companies/eris-biotech,founders@erisbiotech.com or hello@erisbiotech.com,Visit https://www.ycombinator.com/companies/eris-biotech → click company website → check /contact or footer
Powder,W24,AI Agents for precise document analysis,,Fintech,https://www.ycombinator.com/companies/powder,founders@powder.com or hello@powder.com,Visit https://www.ycombinator.com/companies/powder → click company website → check /contact or footer
OpenFoundry,W24,Fastest developer experience for open source AI,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/openfoundry,founders@openfoundry.com or hello@openfoundry.com,Visit https://www.ycombinator.com/companies/openfoundry → click company website → check /contact or footer
Outerport,S24,Turn diagrams and CAD into structured data,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/outerport,founders@outerport.com or hello@outerport.com,Visit https://www.ycombinator.com/companies/outerport → click company website → check /contact or footer
DreamRP,S24,Tech for human creators and entertainment,"San Francisco, CA",Consumer,https://www.ycombinator.com/companies/dreamrp,founders@dreamrp.com or hello@dreamrp.com,Visit https://www.ycombinator.com/companies/dreamrp → click company website → check /contact or footer
Conductor,S24,Run a team of coding agents on your Mac,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/conductor,founders@conductor.com or hello@conductor.com,Visit https://www.ycombinator.com/companies/conductor → click company website → check /contact or footer
Syntra,S24,Medical data analytics for private practices,"San Francisco, CA",Healthcare,https://www.ycombinator.com/companies/syntra,founders@syntra.com or hello@syntra.com,Visit https://www.ycombinator.com/companies/syntra → click company website → check /contact or footer
PathPilot,S24,AI Agents for Lending Operations,"San Jose, CA",B2B,https://www.ycombinator.com/companies/pathpilot,founders@pathpilot.com or hello@pathpilot.com,Visit https://www.ycombinator.com/companies/pathpilot → click company website → check /contact or footer
Bits to Atoms,S24,Match job seekers to deep technology startups,,Consumer,https://www.ycombinator.com/companies/bits-to-atoms,founders@bitstoatoms.com or hello@bitstoatoms.com,Visit https://www.ycombinator.com/companies/bits-to-atoms → click company website → check /contact or footer
Midship,S24,AI for SOX testing,,B2B,https://www.ycombinator.com/companies/midship,founders@midship.com or hello@midship.com,Visit https://www.ycombinator.com/companies/midship → click company website → check /contact or footer
SimCare,S24,AI avatars to scale healthcare training,"San Francisco, CA",Healthcare,https://www.ycombinator.com/companies/simcare,founders@simcare.com or hello@simcare.com,Visit https://www.ycombinator.com/companies/simcare → click company website → check /contact or footer
Merlin AI,S24,AI powered ERP for Construction,"Los Angeles, CA",B2B,https://www.ycombinator.com/companies/merlin-ai,founders@merlinai.com or hello@merlinai.com,Visit https://www.ycombinator.com/companies/merlin-ai → click company website → check /contact or footer
Freestyle,S24,We run and deploy code your AI wrote,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/freestyle,founders@freestyle.com or hello@freestyle.com,Visit https://www.ycombinator.com/companies/freestyle → click company website → check /contact or footer
Arva AI,S24,"AI Agents to scale AML, KYB and KYC operations",,B2B,https://www.ycombinator.com/companies/arva-ai,founders@arvaai.com or hello@arvaai.com,Visit https://www.ycombinator.com/companies/arva-ai → click company website → check /contact or footer
Affil.ai,S24,AI Affiliate Network For Financial Companies,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/affil-ai,founders@affilai.com or hello@affilai.com,Visit https://www.ycombinator.com/companies/affil-ai → click company website → check /contact or footer
OrgOrg,S24,Organizational productivity suite,"Los Altos, CA",B2B,https://www.ycombinator.com/companies/orgorg,founders@orgorg.com or hello@orgorg.com,Visit https://www.ycombinator.com/companies/orgorg → click company website → check /contact or footer
Patched,S24,Agentic workflows for Enterprise IT and Ops teams,,B2B,https://www.ycombinator.com/companies/patched,founders@patched.com or hello@patched.com,Visit https://www.ycombinator.com/companies/patched → click company website → check /contact or footer
Village Labs,S24,Helping businesses become employee owned,"New York, NY",B2B,https://www.ycombinator.com/companies/village-labs,founders@villagelabs.com or hello@villagelabs.com,Visit https://www.ycombinator.com/companies/village-labs → click company website → check /contact or footer
Mica AI,S24,Replace the humans fixing bad data,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/mica-ai,founders@micaai.com or hello@micaai.com,Visit https://www.ycombinator.com/companies/mica-ai → click company website → check /contact or footer
Formula Insight,S24,Help investors manage and query Excel models,"New York, NY",B2B,https://www.ycombinator.com/companies/formula-insight,founders@formulainsight.com or hello@formulainsight.com,Visit https://www.ycombinator.com/companies/formula-insight → click company website → check /contact or footer
Overlap,S24,Multimodal AI agents for video,"San Francisco, CA",Consumer,https://www.ycombinator.com/companies/overlap,founders@overlap.com or hello@overlap.com,Visit https://www.ycombinator.com/companies/overlap → click company website → check /contact or footer
Capitol AI,S24,The sovereign operating system for intelligence,"Washington, DC",B2B,https://www.ycombinator.com/companies/capitol-ai,founders@capitolai.com or hello@capitolai.com,Visit https://www.ycombinator.com/companies/capitol-ai → click company website → check /contact or footer
Void,S24,The open source Cursor alternative,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/void,founders@void.com or hello@void.com,Visit https://www.ycombinator.com/companies/void → click company website → check /contact or footer
Anglera,S24,AI-Powered Product Data Enrichment,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/anglera,founders@anglera.com or hello@anglera.com,Visit https://www.ycombinator.com/companies/anglera → click company website → check /contact or footer
XTraffic,S24,Technology for cities to manage traffic lights,,Government,https://www.ycombinator.com/companies/xtraffic,founders@xtraffic.com or hello@xtraffic.com,Visit https://www.ycombinator.com/companies/xtraffic → click company website → check /contact or footer
BrowserOS,S24,The Open Source Agentic Browser,"San Francisco, CA",Consumer,https://www.ycombinator.com/companies/browseros,founders@browseros.com or hello@browseros.com,Visit https://www.ycombinator.com/companies/browseros → click company website → check /contact or footer
Henry,S24,Automating Deal Decks for CRE Brokers,"New York, NY",Real Estate,https://www.ycombinator.com/companies/henry,founders@henry.com or hello@henry.com,Visit https://www.ycombinator.com/companies/henry → click company website → check /contact or footer
Ficra,S24,Real time source of truth for product screens,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/ficra,founders@ficra.com or hello@ficra.com,Visit https://www.ycombinator.com/companies/ficra → click company website → check /contact or footer
RowBoat Labs,S24,Open-source AI-assisted agent builder,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/rowboat-labs,founders@rowboatlabs.com or hello@rowboatlabs.com,Visit https://www.ycombinator.com/companies/rowboat-labs → click company website → check /contact or footer
Pipeshift,S24,Inference for real-time production workloads,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/pipeshift,founders@pipeshift.com or hello@pipeshift.com,Visit https://www.ycombinator.com/companies/pipeshift → click company website → check /contact or footer
Vera Health,S24,AI clinical decision support for healthcare,"San Francisco, CA",Healthcare,https://www.ycombinator.com/companies/vera-health,founders@verahealth.com or hello@verahealth.com,Visit https://www.ycombinator.com/companies/vera-health → click company website → check /contact or footer
Pharos,S24,Helping hospitals identify avoidable harm using AI,"San Francisco, CA",Healthcare,https://www.ycombinator.com/companies/pharos,founders@pharos.com or hello@pharos.com,Visit https://www.ycombinator.com/companies/pharos → click company website → check /contact or footer
et al.,S24,Feed of insights from go-to sources using LLMs,"San Francisco, CA",Consumer,https://www.ycombinator.com/companies/et-al,founders@etal.com or hello@etal.com,Visit https://www.ycombinator.com/companies/et-al → click company website → check /contact or footer
Keet,S24,Authentication for AI Agents,,B2B,https://www.ycombinator.com/companies/keet,founders@keet.com or hello@keet.com,Visit https://www.ycombinator.com/companies/keet → click company website → check /contact or footer
Terra,S24,Design and sell products in minutes,,B2B,https://www.ycombinator.com/companies/terra,founders@terra.com or hello@terra.com,Visit https://www.ycombinator.com/companies/terra → click company website → check /contact or footer
Dayflow,S24,Auto-generate a detailed log of your work,"San Francisco, CA",Consumer,https://www.ycombinator.com/companies/dayflow,founders@dayflow.com or hello@dayflow.com,Visit https://www.ycombinator.com/companies/dayflow → click company website → check /contact or footer
Diode Computers,S24,Automate circuit board design using AI,"New York, NY",B2B,https://www.ycombinator.com/companies/diode-computers,founders@diodecomputers.com or hello@diodecomputers.com,Visit https://www.ycombinator.com/companies/diode-computers → click company website → check /contact or footer
SureBright,S24,Apple Care-like warranty for every retailer,Remote,B2B,https://www.ycombinator.com/companies/surebright,founders@surebright.com or hello@surebright.com,Visit https://www.ycombinator.com/companies/surebright → click company website → check /contact or footer
Usul,S24,AI Platform for Defense & Government Contracts,"San Francisco, CA",Government,https://www.ycombinator.com/companies/usul,founders@usul.com or hello@usul.com,Visit https://www.ycombinator.com/companies/usul → click company website → check /contact or footer
Saldor,S24,,"San Francisco, CA",Consumer,https://www.ycombinator.com/companies/saldor,founders@saldor.com or hello@saldor.com,Visit https://www.ycombinator.com/companies/saldor → click company website → check /contact or footer
Bucket Robotics,S24,Defect detection for manufacturing from CAD,,Industrials,https://www.ycombinator.com/companies/bucket-robotics,founders@bucketrobotics.com or hello@bucketrobotics.com,Visit https://www.ycombinator.com/companies/bucket-robotics → click company website → check /contact or footer
Oway,S24,AI Infrastructure for America's Empty Truck Space,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/oway,founders@oway.com or hello@oway.com,Visit https://www.ycombinator.com/companies/oway → click company website → check /contact or footer
Elayne,S24,AI copilot for family estates,"New York, NY",Fintech,https://www.ycombinator.com/companies/elayne,founders@elayne.com or hello@elayne.com,Visit https://www.ycombinator.com/companies/elayne → click company website → check /contact or footer
Red Barn Robotics,W25,A Roomba for weeds on a farm,,Industrials,https://www.ycombinator.com/companies/red-barn-robotics,founders@redbarnrobotics.com or hello@redbarnrobotics.com,Visit https://www.ycombinator.com/companies/red-barn-robotics → click company website → check /contact or footer
Mentra,W25,Open source smart glasses operating system,"San Francisco, CA",Consumer,https://www.ycombinator.com/companies/mentra,founders@mentra.com or hello@mentra.com,Visit https://www.ycombinator.com/companies/mentra → click company website → check /contact or footer
BlindPay,W25,Stablecoin API for global payments,,Fintech,https://www.ycombinator.com/companies/blindpay,founders@blindpay.com or hello@blindpay.com,Visit https://www.ycombinator.com/companies/blindpay → click company website → check /contact or footer
Vantel,W25,AI Platform for Commercial Insurance Brokerages,,Fintech,https://www.ycombinator.com/companies/vantel,founders@vantel.com or hello@vantel.com,Visit https://www.ycombinator.com/companies/vantel → click company website → check /contact or footer
Fira,W25,Financial research platform for investment firms,,B2B,https://www.ycombinator.com/companies/fira,founders@fira.com or hello@fira.com,Visit https://www.ycombinator.com/companies/fira → click company website → check /contact or footer
assistant-ui,W25,Open Source React.js Library for AI Chat,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/assistant-ui,founders@assistant-ui.com or hello@assistant-ui.com,Visit https://www.ycombinator.com/companies/assistant-ui → click company website → check /contact or footer
Artifact,W25,Collaborative AI-native IDE for Hardware Engineers,,B2B,https://www.ycombinator.com/companies/artifact,founders@artifact.com or hello@artifact.com,Visit https://www.ycombinator.com/companies/artifact → click company website → check /contact or footer
Axal,W25,AI Workers for Manufacturing and Distribution,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/axal,founders@axal.com or hello@axal.com,Visit https://www.ycombinator.com/companies/axal → click company website → check /contact or footer
Dex,W25,The AI Coworker in Chrome,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/dex,founders@dex.com or hello@dex.com,Visit https://www.ycombinator.com/companies/dex → click company website → check /contact or footer
TrainLoop,W25,Reasoning Fine-Tuning,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/trainloop,founders@trainloop.com or hello@trainloop.com,Visit https://www.ycombinator.com/companies/trainloop → click company website → check /contact or footer
Candid,W25,,,B2B,https://www.ycombinator.com/companies/candid,founders@candid.com or hello@candid.com,Visit https://www.ycombinator.com/companies/candid → click company website → check /contact or footer
SAMMY Labs,W25,Knowledge layer for your people and AI,,B2B,https://www.ycombinator.com/companies/sammy-labs,founders@sammylabs.com or hello@sammylabs.com,Visit https://www.ycombinator.com/companies/sammy-labs → click company website → check /contact or footer
Instinct,W25,Building lunar landers,,Industrials,https://www.ycombinator.com/companies/instinct,founders@instinct.com or hello@instinct.com,Visit https://www.ycombinator.com/companies/instinct → click company website → check /contact or footer
Mercura,W25,AI Quote and Order Automation for Distributors,,B2B,https://www.ycombinator.com/companies/mercura,founders@mercura.com or hello@mercura.com,Visit https://www.ycombinator.com/companies/mercura → click company website → check /contact or footer
emojis.com,W25,"Generate custom emojis for discord, slack, iMessage","San Francisco, CA",Consumer,https://www.ycombinator.com/companies/emojis-com,founders@emojiscom.com or hello@emojiscom.com,Visit https://www.ycombinator.com/companies/emojis-com → click company website → check /contact or footer
Cedar,W25,Execute the best sales playbook in industry,,B2B,https://www.ycombinator.com/companies/cedar,founders@cedar.com or hello@cedar.com,Visit https://www.ycombinator.com/companies/cedar → click company website → check /contact or footer
Browser Use,W25,Leading open-source web agent project 50k stars,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/browser-use,founders@browseruse.com or hello@browseruse.com,Visit https://www.ycombinator.com/companies/browser-use → click company website → check /contact or footer
TamLabs,W25,AI for Professional Services,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/tamlabs,founders@tamlabs.com or hello@tamlabs.com,Visit https://www.ycombinator.com/companies/tamlabs → click company website → check /contact or footer
Ergo,W25,AI agents and unified data layer for revenue teams,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/ergo,founders@ergo.com or hello@ergo.com,Visit https://www.ycombinator.com/companies/ergo → click company website → check /contact or footer
CopyCat,W25,AI agents built for insurance,"San Francisco, CA",Fintech,https://www.ycombinator.com/companies/copycat,founders@copycat.com or hello@copycat.com,Visit https://www.ycombinator.com/companies/copycat → click company website → check /contact or footer
Paratus Health,W25,Medical Voice Agents for Patient Management,"Menlo Park, CA",Healthcare,https://www.ycombinator.com/companies/paratus-health,founders@paratushealth.com or hello@paratushealth.com,Visit https://www.ycombinator.com/companies/paratus-health → click company website → check /contact or footer
Butter,W25,Embedded Sandboxes for Agents,,B2B,https://www.ycombinator.com/companies/butter,founders@butter.com or hello@butter.com,Visit https://www.ycombinator.com/companies/butter → click company website → check /contact or footer
Bluebook,W25,AI for accounting,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/bluebook,founders@bluebook.com or hello@bluebook.com,Visit https://www.ycombinator.com/companies/bluebook → click company website → check /contact or footer
TensorPool,W25,Vercel For GPUs,,B2B,https://www.ycombinator.com/companies/tensorpool,founders@tensorpool.com or hello@tensorpool.com,Visit https://www.ycombinator.com/companies/tensorpool → click company website → check /contact or footer
Dalus,W25,AI-Powered Hardware System Design Software,,B2B,https://www.ycombinator.com/companies/dalus,founders@dalus.com or hello@dalus.com,Visit https://www.ycombinator.com/companies/dalus → click company website → check /contact or footer
Roark,W25,"Test, monitor, and improve your voice agents","San Francisco, CA",B2B,https://www.ycombinator.com/companies/roark,founders@roark.com or hello@roark.com,Visit https://www.ycombinator.com/companies/roark → click company website → check /contact or footer
Rebolt,W25,AI-Powered Company OS,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/rebolt,founders@rebolt.com or hello@rebolt.com,Visit https://www.ycombinator.com/companies/rebolt → click company website → check /contact or footer
Spott,W25,AI-native ATS/CRM for recruiting firms,,B2B,https://www.ycombinator.com/companies/spott,founders@spott.com or hello@spott.com,Visit https://www.ycombinator.com/companies/spott → click company website → check /contact or footer
Woz,W25,Claude Code plugin that reduces token cost by 50%,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/woz,founders@woz.com or hello@woz.com,Visit https://www.ycombinator.com/companies/woz → click company website → check /contact or footer
Proception Inc,W25,Making humanoids dexterous enough to thread a needle,,Industrials,https://www.ycombinator.com/companies/proception-inc,founders@proceptioninc.com or hello@proceptioninc.com,Visit https://www.ycombinator.com/companies/proception-inc → click company website → check /contact or footer
Corsair,W25,Integration Layer for AI Agents,"New York, NY",B2B,https://www.ycombinator.com/companies/corsair,founders@corsair.com or hello@corsair.com,Visit https://www.ycombinator.com/companies/corsair → click company website → check /contact or footer
Wildcard,W25,Sell Products in ChatGPT Shopping,,B2B,https://www.ycombinator.com/companies/wildcard,founders@wildcard.com or hello@wildcard.com,Visit https://www.ycombinator.com/companies/wildcard → click company website → check /contact or footer
Permitify,W25,AI co-pilot for building plan review,,Real Estate,https://www.ycombinator.com/companies/permitify,founders@permitify.com or hello@permitify.com,Visit https://www.ycombinator.com/companies/permitify → click company website → check /contact or footer
Reditus Space,W25,Reusable Satellites for zero-g manufacturing,"Atlanta, GA",Industrials,https://www.ycombinator.com/companies/reditus-space,founders@reditusspace.com or hello@reditusspace.com,Visit https://www.ycombinator.com/companies/reditus-space → click company website → check /contact or footer
Optifye.ai,W25,AI performance monitoring for factory workers,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/optifye-ai,founders@optifyeai.com or hello@optifyeai.com,Visit https://www.ycombinator.com/companies/optifye-ai → click company website → check /contact or footer
Pinch,W25,Real-time AI Voice Translation for Developers,Remote,B2B,https://www.ycombinator.com/companies/pinch,founders@pinch.com or hello@pinch.com,Visit https://www.ycombinator.com/companies/pinch → click company website → check /contact or footer
Retrofit,W25,A vintage marketplace curated by AI,"New York, NY",Consumer,https://www.ycombinator.com/companies/retrofit,founders@retrofit.com or hello@retrofit.com,Visit https://www.ycombinator.com/companies/retrofit → click company website → check /contact or footer
Archon,W25,Help software companies sell to government,"San Francisco, CA",Government,https://www.ycombinator.com/companies/archon,founders@archon.com or hello@archon.com,Visit https://www.ycombinator.com/companies/archon → click company website → check /contact or footer
Forge Automation,W25,Software Enabled CNC Parts Supplier,"Toronto, Canada",Industrials,https://www.ycombinator.com/companies/forge-automation,founders@forgeautomation.com or hello@forgeautomation.com,Visit https://www.ycombinator.com/companies/forge-automation → click company website → check /contact or footer
Mastra,W25,Javascript framework for building AI agents,Remote,B2B,https://www.ycombinator.com/companies/mastra,founders@mastra.com or hello@mastra.com,Visit https://www.ycombinator.com/companies/mastra → click company website → check /contact or footer
Cohesive,X25,The agentic CRM for blue-collar services,"New York, NY",B2B,https://www.ycombinator.com/companies/cohesive,founders@cohesive.com or hello@cohesive.com,Visit https://www.ycombinator.com/companies/cohesive → click company website → check /contact or footer
Docket,X25,AI agents for web testing,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/docket,founders@docket.com or hello@docket.com,Visit https://www.ycombinator.com/companies/docket → click company website → check /contact or footer
Sureform,X25,Real-world data for world models and robotics,"Palo Alto, CA",B2B,https://www.ycombinator.com/companies/sureform,founders@sureform.com or hello@sureform.com,Visit https://www.ycombinator.com/companies/sureform → click company website → check /contact or footer
Foundation Industries,X25,Supply hard tech companies with critical components,,Industrials,https://www.ycombinator.com/companies/foundation-industries,founders@foundationindustries.com or hello@foundationindustries.com,Visit https://www.ycombinator.com/companies/foundation-industries → click company website → check /contact or footer
Godela,X25,AI Physics Engine to replace simulations,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/godela,founders@godela.com or hello@godela.com,Visit https://www.ycombinator.com/companies/godela → click company website → check /contact or footer
Aegis,X25,AI Agents to win denied health insurance claims,"San Francisco, CA",Healthcare,https://www.ycombinator.com/companies/aegis,founders@aegis.com or hello@aegis.com,Visit https://www.ycombinator.com/companies/aegis → click company website → check /contact or footer
Cascade Space,X25,Deep space communications as a service,,Industrials,https://www.ycombinator.com/companies/cascade-space,founders@cascadespace.com or hello@cascadespace.com,Visit https://www.ycombinator.com/companies/cascade-space → click company website → check /contact or footer
Bond,X25,Your AI Chief of Staff,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/bond,founders@bond.com or hello@bond.com,Visit https://www.ycombinator.com/companies/bond → click company website → check /contact or footer
